seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere
7.830946,2000-01-03T08:50:00,mother,False,Navigating,"(8,8)",0.326092,7.392511,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.831029,2000-01-03T08:50:00,older_sister,False,Navigating,"(7,4)",2.953681,5.476840,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,12,,None,None,True
7.831106,2000-01-03T08:50:00,player,True,Navigating,"(5,2)",2.379655,3.412049,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,9,,None,None,True
7.943411,2000-01-03T08:50:00,father,False,Navigating,"(4,9)",-4.630276,6.129307,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
7.943552,2000-01-03T08:50:00,mother,False,Navigating,"(8,8)",0.224913,7.443100,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.943635,2000-01-03T08:50:00,older_sister,False,Navigating,"(7,4)",2.852502,5.426250,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,12,,None,None,True
7.943710,2000-01-03T08:50:00,player,True,Navigating,"(5,2)",2.480833,3.462638,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,9,,None,None,True
8.049977,2000-01-03T08:50:00,father,False,Navigating,"(4,9)",-4.534141,6.177374,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
8.050117,2000-01-03T08:50:00,mother,False,Navigating,"(8,8)",0.128778,7.491168,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
8.050202,2000-01-03T08:50:00,older_sister,False,Navigating,"(7,4)",2.756367,5.378183,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,12,,None,None,True
8.050280,2000-01-03T08:50:00,player,True,Navigating,"(5,2)",2.576968,3.510706,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,9,,None,None,True
8.151758,2000-01-03T08:50:00,father,False,Navigating,"(4,9)",-4.444445,6.222222,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
8.151943,2000-01-03T08:50:00,mother,False,Navigating,"(8,8)",0.037137,7.536988,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
8.152071,2000-01-03T08:50:00,older_sister,False,Navigating,"(7,4)",2.666667,5.333333,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,12,,None,None,True
8.152193,2000-01-03T08:50:00,player,True,Navigating,"(5,2)",2.666667,3.555556,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,9,,None,None,True
8.267805,2000-01-03T08:50:00,father,False,Navigating,"(4,9)",-4.352794,6.176397,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",7,8,,None,None,True
8.267949,2000-01-03T08:50:00,mother,False,Navigating,"(8,8)",-0.063458,7.587286,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
8.268032,2000-01-03T08:50:00,older_sister,False,Navigating,"(7,4)",2.566072,5.283036,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
8.268109,2000-01-03T08:50:00,player,True,Navigating,"(5,2)",2.767262,3.605853,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
8.377748,2000-01-03T08:50:00,father,False,Navigating,"(4,9)",-4.253109,6.126555,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",7,8,,None,None,True
8.377906,2000-01-03T08:50:00,mother,False,Navigating,"(8,8)",-0.163142,7.637128,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
