seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
145.489800,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.310262,1.857259
145.489800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.694951,1.775838
145.489800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
146.559900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
146.560000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.297649,1.857259
146.560000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.290920,1.775838
146.560000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
147.660700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
147.660800,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.297649,1.857259
147.660800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.290920,1.775838
147.660900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
148.729200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
148.729300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.297649,1.857259
148.729300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.290920,1.775838
148.729300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
149.794600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
149.794700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.297649,1.857259
149.794700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.290920,1.775838
149.794800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
150.892100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
150.892200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.297649,1.857259
150.892200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.290920,1.775838
150.892200,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
151.906000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
151.906000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.201257,1.857259
151.906100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.745492,1.775838
151.906100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
153.009200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
153.009200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
153.009200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.395959,1.775838
153.009300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186173,1.775838
154.092100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
154.092200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
154.092200,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.395959,1.775838
154.092300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186165,1.775838
155.172000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
155.172100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
155.172100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
155.172100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186543,1.775838
156.173300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
156.173400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
156.173500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
156.173500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186215,1.775838
157.273700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
157.273800,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
157.273800,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
157.273900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
158.289400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
158.289500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
158.289500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
158.289600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
159.391000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
159.391000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
159.391000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
159.391100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
160.505400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
160.505400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
160.505400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
160.505500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
161.594600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
161.594700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
161.594700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
161.594700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
162.694800,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
162.694800,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
162.694900,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
162.694900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
163.779000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
163.779100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
163.779100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
163.779100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
164.845600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
164.845700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
164.845700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
164.845700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
165.878700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
