frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
117,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
118,player,Navigating,2.938661,2.998265,-0.052981,3.083078,0.220000,0,0.768319,0.358730
118,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
119,player,Navigating,3.000000,3.000000,0.000000,3.111111,0.220000,0,0.786557,0.366027
119,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
120,player,Navigating,3.053177,2.973411,0.070903,3.122928,0.220000,0,0.837159,0.378976
120,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
121,player,Navigating,3.055502,2.896993,0.140897,3.089998,0.220000,0,0.914856,0.407473
121,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
122,player,Navigating,3.050336,2.813502,0.210520,3.050595,0.220000,0,0.961050,0.438323
122,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
123,player,Navigating,3.045170,2.730010,0.280143,3.011191,0.220000,0,1.007077,0.467824
123,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
124,player,Navigating,3.040004,2.646518,0.349766,2.971787,0.220000,0,1.059720,0.490275
124,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
125,player,Navigating,3.034838,2.563026,0.419388,2.932384,0.220000,0,1.129906,0.497038
125,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
126,player,Navigating,3.029672,2.479534,0.489011,2.892980,0.220000,0,1.234828,0.470295
126,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
127,player,Navigating,3.024598,2.397530,0.557394,2.854279,0.220000,0,1.346957,0.434374
127,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
128,player,Navigating,3.019990,2.323068,0.619486,2.819137,0.220000,0,1.465420,0.385967
128,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
129,player,Navigating,3.016086,2.259979,0.672095,2.789362,0.220000,0,1.584880,0.355384
129,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
130,player,Navigating,3.012886,2.208257,0.715226,2.764952,0.220000,0,1.658507,0.347429
130,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
131,player,Navigating,3.010269,2.165960,0.750497,2.744991,0.220000,0,1.685410,0.342123
131,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
132,player,Navigating,3.008096,2.130839,0.779784,2.728415,0.220000,0,1.707234,0.338545
132,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
133,player,Navigating,3.006248,2.100982,0.804681,2.714325,0.220000,0,1.725184,0.335967
133,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
134,player,Navigating,3.004636,2.074915,0.826418,2.702023,0.220000,0,1.740892,0.334285
134,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
135,player,Navigating,3.003188,2.051515,0.845931,2.690979,0.220000,0,1.754956,0.337521
135,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
136,player,Navigating,3.001851,2.029908,0.863949,2.680782,0.220000,0,1.767754,0.344458
136,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
137,player,Idle,3.000000,2.000000,0.888889,2.666667,0.220000,0,1.785222,0.354283
137,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
