frame,actor,left_pixels,right_pixels,left_outside_pixels,right_outside_pixels,left_min_tile_margin_px,right_min_tile_margin_px,rendered_width,rendered_height,head_width,head_height,head_to_height,shoulder_width,torso_width,leg_width,leg_height,silhouette_pixels,screen_occupation_percent,shoe_centroid_x,shoe_centroid_y,agent_center_x,agent_center_y,shoe_to_agent_x,shoe_to_agent_y
39,father,118,135,61,2,-6.952273,-0.289266,37,96,29,31,0.322917,23,30,37,47,1841,0.199761,741.832000,374.555300,742.634500,362.106200,-0.802490,12.449100
40,player,161,181,0,181,3.288456,-9.524805,41,94,28,26,0.276596,20,29,41,48,1883,0.204319,539.043900,270.959100,539.137900,260.357900,-0.094055,10.601140
40,father,115,131,51,5,-6.057844,-0.736480,36,96,28,30,0.312500,24,30,36,47,1837,0.199327,740.569100,374.004100,740.862100,361.220000,-0.292969,12.784060
41,player,158,181,0,181,3.288456,-9.972019,40,95,28,26,0.273684,19,29,40,49,1859,0.201714,539.818600,271.671100,540.910400,261.244200,-1.091797,10.426910
41,father,118,131,48,9,-5.610629,-1.630907,34,95,28,30,0.315790,23,29,34,46,1822,0.197700,739.347400,373.696800,739.089700,360.333800,0.257752,13.362980
42,player,161,179,0,179,3.288456,-10.419230,40,95,28,26,0.273684,20,28,40,49,1831,0.198676,541.055900,272.776500,542.682700,262.130400,-1.626831,10.646060
42,father,120,120,41,120,-5.163414,-8.207872,33,96,28,31,0.322917,21,28,33,46,1805,0.195855,737.766700,373.070800,737.317200,359.447600,0.449463,13.623230
43,player,162,174,0,6,3.288456,-1.183680,38,95,28,26,0.273684,19,28,38,49,1826,0.198134,542.747000,274.014900,544.455200,263.016600,-1.708191,10.998260
43,father,121,112,33,112,-4.268985,-7.760655,32,95,29,31,0.326316,21,27,32,45,1785,0.193685,736.027900,372.281100,735.544700,358.561400,0.483154,13.719760
44,player,161,179,0,13,3.288456,-2.078108,37,95,29,26,0.273684,19,27,37,49,1827,0.198242,544.397000,275.235300,546.227700,263.902800,-1.830627,11.332460
44,father,120,106,21,106,-2.927341,-7.313441,30,95,28,31,0.326316,21,26,30,45,1775,0.192600,734.256700,371.389400,733.772300,357.675100,0.484375,13.714230
45,player,159,182,0,18,3.288456,-2.525321,34,94,28,26,0.276596,18,25,34,48,1798,0.195096,546.300600,276.388500,548.000100,264.789100,-1.699524,11.599490
45,father,113,105,9,105,-1.138491,-6.866227,29,94,28,31,0.329787,20,25,28,44,1750,0.189887,732.582600,370.761500,731.999800,356.788900,0.582764,13.972530
46,player,142,193,0,19,2.796140,-2.525321,32,93,28,26,0.279570,18,24,32,47,1758,0.190755,548.425400,277.464200,549.772600,265.675300,-1.347229,11.788910
46,father,112,102,0,100,0.203151,-5.971799,28,94,28,31,0.329787,19,24,27,44,1741,0.188911,730.598100,369.813100,730.227400,355.902700,0.370728,13.910370
47,player,123,183,0,17,1.901713,-2.525321,30,92,28,26,0.282609,18,23,30,46,1698,0.184245,550.784300,278.728800,551.545000,266.561500,-0.760742,12.167270
47,father,107,107,0,84,1.544792,-5.077371,28,94,28,31,0.329787,19,22,25,44,1721,0.186741,728.654200,368.808400,728.455000,355.016500,0.199280,13.791930
48,player,96,169,0,11,0.560072,-2.078108,28,91,28,26,0.285714,18,21,27,45,1626,0.176432,553.371700,280.020800,553.317500,267.447700,0.054199,12.573060
48,father,107,99,0,49,0.650365,-3.374556,28,93,28,31,0.333333,18,21,22,43,1703,0.184787,726.194200,367.335000,726.682500,354.130300,-0.488342,13.204650
49,player,107,131,1,7,-0.334357,-1.630894,28,90,28,25,0.277778,17,20,25,45,1586,0.172092,556.357100,280.869800,555.089900,268.333900,1.267212,12.535830
49,father,112,96,0,17,1.544794,-1.499658,28,93,28,31,0.333333,17,20,21,43,1689,0.183268,723.562500,365.721200,724.910200,353.244000,-1.347656,12.477110
50,player,85,150,0,27,1.052388,-2.570420,28,90,28,25,0.277778,16,18,23,45,1572,0.170573,559.487200,281.406400,556.862300,269.220200,2.624939,12.186220
50,father,114,96,0,0,2.439224,0.158011,28,93,28,31,0.333333,16,19,21,43,1677,0.181966,721.023800,364.138100,723.137700,352.357800,-2.113892,11.780270
51,player,131,136,0,68,0.560077,-5.253708,28,90,28,25,0.277778,16,18,23,45,1633,0.177192,562.589900,282.279000,558.634800,270.106400,3.955139,12.172670
51,father,123,96,0,0,3.288508,0.605222,28,92,28,31,0.336957,17,17,23,42,1681,0.182400,718.563900,362.783100,721.365200,351.471600,-2.801331,11.311490
52,player,150,154,8,136,-1.228781,-7.489780,29,91,28,26,0.285714,16,18,27,46,1688,0.183160,565.651300,283.641400,560.407200,270.992600,5.244080,12.648860
52,father,130,102,0,0,3.288505,1.052430,29,92,28,31,0.336957,17,17,25,42,1690,0.183377,716.185400,361.444000,719.592800,350.585400,-3.407410,10.858580
53,player,158,176,24,176,-3.017640,-11.514710,32,90,28,25,0.277778,17,19,31,46,1716,0.186198,568.598800,284.985000,562.179700,271.878800,6.419128,13.106230
53,father,133,107,0,0,3.288507,1.052427,30,93,29,32,0.344086,16,16,25,42,1702,0.184679,714.029200,360.229200,717.820300,349.699200,-3.791138,10.529970
54,player,167,178,43,0,-5.253710,1.946834,35,91,28,25,0.274725,17,18,35,46,1739,0.188694,571.187000,286.294200,563.952100,272.765000,7.234802,13.529170
54,father,139,120,0,0,3.288505,0.157998,32,92,29,32,0.347826,16,16,28,41,1723,0.186958,711.689200,359.171800,716.047900,348.813000,-4.358704,10.358860
55,player,164,175,53,0,-5.700924,2.394052,38,91,28,26,0.285714,17,18,38,46,1728,0.187500,573.647500,287.697600,565.724500,273.651200,7.922974,14.046390
55,father,134,124,0,1,3.288504,-0.289218,33,92,29,32,0.347826,16,16,29,41,1739,0.188694,709.550400,358.034900,714.275500,347.926700,-4.725037,10.108180
56,player,165,171,65,0,-6.595351,2.841269,40,91,28,25,0.274725,17,18,40,47,1729,0.187609,575.708300,288.788700,567.497000,274.537500,8.211304,14.251220
56,father,126,125,0,125,3.288504,-10.443910,34,92,29,32,0.347826,16,16,31,41,1745,0.189345,707.794800,357.093600,712.503000,347.040500,-4.708191,10.053100
57,player,161,175,75,0,-7.489780,2.841274,42,91,28,25,0.274725,17,19,42,46,1733,0.188043,577.788700,289.970200,569.269500,275.423700,8.519226,14.546570
57,father,126,119,0,119,3.288503,-9.549484,34,92,29,32,0.347826,16,16,32,41,1747,0.189562,706.324500,356.238800,710.730500,346.154300,-4.406067,10.084470
58,player,158,170,85,0,-7.936995,2.841277,42,91,28,25,0.274725,17,19,42,47,1719,0.186523,578.475600,290.405500,571.041900,276.309900,7.433655,14.095610
58,father,127,120,0,120,3.288502,-9.102270,33,92,29,32,0.347826,16,16,32,41,1767,0.191732,705.119400,355.447400,708.958200,345.268100,-3.838745,10.179290
59,player,162,175,96,0,-7.936995,2.841277,41,91,28,25,0.274725,17,18,41,47,1735,0.188260,579.022300,290.678000,572.814300,277.196100,6.207947,13.481930
59,father,130,127,0,122,2.841289,-8.655056,32,92,29,31,0.336957,16,16,32,41,1754,0.190321,703.877400,354.585600,707.185700,344.381900,-3.308289,10.203700
60,player,157,178,106,0,-8.384210,2.841277,41,90,29,24,0.266667,17,18,41,46,1732,0.187934,580.171600,291.144800,574.586800,278.082300,5.584839,13.062440
60,father,129,134,0,111,2.841287,-8.207842,32,93,28,32,0.344086,16,16,32,41,1751,0.189996,702.328900,353.785200,705.413300,343.495600,-3.084351,10.289520
61,player,155,179,113,0,-8.831425,2.841279,41,91,28,25,0.274725,17,18,41,47,1729,0.187609,580.778400,291.413200,576.359200,278.968600,4.419250,12.444610
61,father,130,136,0,95,2.394073,-7.313414,32,93,29,32,0.344086,16,16,32,42,1768,0.191840,701.030100,353.165400,703.640800,342.609500,-2.610718,10.555940
62,player,152,183,122,0,-8.831425,2.841279,41,91,28,25,0.274725,17,19,41,47,1742,0.189019,581.750700,291.864200,578.131700,279.854800,3.619080,12.009400
62,father,132,139,0,84,1.946859,-6.866200,32,94,29,32,0.340426,16,16,32,42,1772,0.192274,700.016600,352.736200,701.868300,341.723200,-1.851746,11.012940
63,player,147,182,129,0,-9.278639,2.841279,41,90,28,24,0.266667,17,19,41,47,1742,0.189019,582.563800,292.421000,579.904100,280.741000,2.659729,11.679990
63,father,134,136,0,71,1.499644,-6.418986,32,93,28,32,0.344086,17,17,32,41,1764,0.191406,698.963000,352.303700,700.095900,340.837000,-1.132935,11.466740
64,player,136,180,133,0,-9.278639,2.394067,40,89,28,25,0.280899,17,19,40,45,1730,0.187717,583.642400,293.196200,581.676600,281.627200,1.965820,11.569000
64,father,130,137,130,63,-11.785550,-5.971772,31,94,28,32,0.340426,17,17,31,42,1763,0.191298,697.668500,351.882000,698.323400,339.950800,-0.654907,11.931240
65,player,122,187,122,0,-9.725854,2.394070,39,89,27,25,0.280899,17,19,39,45,1708,0.185330,585.474100,294.228100,583.449000,282.513400,2.025146,11.714720
65,father,132,143,132,56,-10.891130,-5.524558,30,93,28,32,0.344086,17,17,30,41,1772,0.192274,696.209100,351.438200,696.551000,339.064500,-0.341858,12.373630
66,player,117,183,117,0,-10.173070,2.394070,38,89,28,25,0.280899,18,19,38,45,1685,0.182834,586.656700,295.163300,585.221400,283.399700,1.435242,11.763670
66,father,134,136,134,43,-9.996698,-5.077344,30,93,29,31,0.333333,16,18,29,42,1762,0.191189,695.044400,350.888900,694.778600,338.178300,0.265869,12.710540
67,player,113,187,9,0,-2.078082,2.394070,36,88,28,25,0.284091,18,19,35,44,1668,0.180990,588.243300,296.376700,586.993900,284.285900,1.249451,12.090820
67,father,136,142,134,38,-9.434527,-4.515166,30,93,29,32,0.344086,16,18,28,41,1774,0.192491,693.410100,350.377700,693.006100,337.292100,0.403992,13.085570
68,player,109,192,9,0,-2.525291,2.394072,35,87,27,25,0.287356,19,21,33,43,1667,0.180881,590.220900,297.287400,588.766400,285.172100,1.454590,12.115300
68,father,132,138,124,26,-8.207842,-3.620737,29,93,28,32,0.344086,17,19,28,41,1762,0.191189,691.611100,349.692600,691.233600,336.405900,0.377441,13.286710
69,player,105,183,9,0,-1.630859,2.394072,34,86,27,25,0.290698,19,22,31,42,1650,0.179037,592.132000,298.371500,590.538800,286.058300,1.593140,12.313230
69,father,141,136,114,15,-6.866200,-2.726307,28,92,28,32,0.347826,17,19,26,40,1772,0.192274,689.572200,348.972900,689.461200,335.519700,0.111023,13.453250
70,player,115,170,9,0,-2.078069,2.394075,32,85,27,25,0.294118,19,22,28,41,1647,0.178711,594.226300,299.264900,592.311200,286.944500,1.915100,12.320400
70,father,144,118,88,4,-5.524558,-0.937452,28,92,28,32,0.347826,18,19,24,41,1772,0.192274,687.469500,347.896900,687.688700,334.633500,-0.219238,13.263460
71,player,105,144,6,0,-2.078063,2.841292,30,85,27,25,0.294118,20,23,26,41,1631,0.176975,596.720900,300.142600,594.083700,287.830700,2.637207,12.311830
71,father,137,105,57,0,-4.182916,0.404192,28,93,28,31,0.333333,18,21,24,42,1782,0.193359,684.929700,346.628100,685.916400,333.747300,-0.986633,12.880860
72,player,99,119,2,0,-0.736420,2.147875,31,86,28,25,0.290698,20,25,24,41,1592,0.172743,599.197300,300.848600,595.856100,288.716900,3.341187,12.131680
72,father,125,89,25,0,-2.279093,1.052414,29,94,28,31,0.329787,19,23,25,43,1765,0.191515,682.243000,345.014000,684.143900,332.861000,-1.900940,12.152980
73,player,55,166,10,0,-1.429833,1.700662,31,86,28,25,0.290698,20,26,29,41,1575,0.170898,600.943400,301.762500,597.628500,289.603200,3.314880,12.159270
73,father,112,84,1,0,-0.043020,0.157987,30,96,28,31,0.322917,20,24,28,45,1766,0.191623,679.632600,343.147900,682.371500,331.974800,-2.738831,11.173160
74,player,82,181,55,0,-4.560328,1.700662,32,87,28,25,0.287356,20,27,32,42,1630,0.176866,602.899200,303.024700,599.401000,290.489400,3.498230,12.535340
74,father,93,106,0,0,5.971760,1.052412,29,97,27,31,0.319588,21,25,29,46,1793,0.194553,677.555300,341.595500,680.599000,331.088600,-3.043701,10.506930
75,player,112,196,111,1,-8.138037,-0.088193,34,87,28,25,0.287356,20,29,34,42,1709,0.185438,605.701300,304.616900,601.173500,291.375600,4.527832,13.241270
75,father,86,117,0,0,6.866182,1.946836,31,97,28,31,0.319588,21,27,31,46,1815,0.196940,675.475300,340.593600,678.826600,330.202400,-3.351257,10.391240
76,player,139,196,139,16,-10.374110,-2.324261,35,88,27,25,0.284091,20,30,35,43,1789,0.194119,609.010400,306.088100,602.945900,292.261800,6.064514,13.826260
76,father,90,120,0,0,3.288472,1.946832,33,98,28,31,0.316327,22,28,33,47,1849,0.200629,673.238100,339.628600,677.054100,329.316200,-3.816040,10.312410
77,player,164,190,0,21,1.499616,-1.877047,37,88,27,25,0.284091,20,30,37,43,1840,0.199653,612.067800,307.966100,604.718400,293.148000,7.349426,14.818050
