frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
69,player,0.470025,true,false,4.794488,6.007979,5.037082,5.989978,4.939849,6.027126,5.124170,5.922279,11.135190,17.503940,3.562541,8.729065,3.562541
69,father,0.470025,true,false,7.186782,5.962277,7.057397,6.028363,7.065507,5.926852,7.002506,6.106361,11.843450,16.735770,4.862773,9.557158,4.862773
70,player,0.511951,true,false,4.794221,6.008093,5.163120,5.983991,4.939190,6.026042,5.294020,5.922987,11.125100,12.738140,3.562073,1.561205,3.562073
70,father,0.511951,true,false,7.168513,5.961891,6.956080,6.031789,7.047290,5.927352,6.875766,6.104524,12.534240,17.245360,5.554845,8.841934,5.554845
71,player,0.553877,false,false,4.777361,6.008169,5.245410,5.980250,4.919280,6.024236,5.404877,5.934117,10.487610,9.626602,2.999566,-3.116609,Infinity
71,father,0.553877,false,false,7.152958,5.961880,6.875282,6.033722,7.032964,5.928407,6.777267,6.095797,13.122400,14.190220,6.173209,4.816255,Infinity
72,player,0.595804,false,false,4.773141,6.008821,5.271018,5.988664,4.907721,6.022097,5.433759,5.962933,10.328040,8.658308,3.020391,-4.000000,Infinity
72,father,0.595804,false,false,7.141631,5.962337,6.844378,6.029011,7.024890,5.930217,6.737710,6.075794,13.550700,13.021660,6.681427,3.173287,Infinity
73,player,0.637730,false,false,4.775964,6.012765,5.285882,5.995645,4.893028,6.020241,5.423629,5.963839,10.434780,8.096291,3.557583,-3.456100,Infinity
73,father,0.637730,false,false,7.127624,5.961786,6.822307,6.027042,7.019275,5.932588,6.725778,6.075441,14.080360,12.187090,7.417349,2.894666,Infinity
74,player,0.679656,false,true,4.628882,6.019429,5.122678,5.999538,4.715350,6.018259,5.244965,5.957885,4.873294,14.267350,-1.251888,3.562668,3.562668
74,father,0.679656,false,true,7.126916,5.959935,6.829235,6.027128,7.034713,5.935049,6.740112,6.080271,14.107090,12.449060,7.840915,3.562668,3.562668
75,player,0.721583,false,true,4.686697,6.025112,5.127635,5.999945,4.720899,6.015998,5.246504,5.955323,7.059402,14.079910,2.218785,3.562632,3.562632
75,father,0.721583,false,true,7.095168,5.958934,6.826664,6.029005,7.034263,5.936721,6.739313,6.083768,15.307580,12.351860,9.810662,3.562614,3.562614
76,player,0.763509,false,true,4.773231,6.031369,5.128937,6.000545,4.749248,6.014432,5.246911,5.955053,10.331440,14.030670,5.016480,3.562451,3.562451
76,father,0.763509,false,true,7.043148,5.957532,6.825823,6.030708,7.022493,5.936468,6.739047,6.086128,17.274550,12.320030,12.145360,3.562343,3.562343
77,player,0.805435,false,true,4.878333,6.026352,5.130355,6.000436,4.841571,6.019716,5.247347,5.954011,14.305570,13.977060,8.289993,3.562668,3.562668
77,father,0.805435,false,true,6.977428,5.961954,6.824899,6.031968,6.967658,5.932163,6.738760,6.088094,17.467440,12.285140,11.834100,3.562289,3.562289
78,player,0.847362,false,true,4.999644,6.015330,5.131782,5.999575,4.994425,6.029045,5.247790,5.952363,18.326380,13.923090,13.574430,3.562650,3.562650
