frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
106,player,Navigating,2.227601,3.000000,-0.686577,2.767823,0.220000,0,0.559341,0.449116
106,father,Navigating,11.000000,8.033453,2.636930,8.903757,0.220000,0,0.223120,0.348406
107,player,Navigating,2.308100,3.000000,-0.615022,2.803600,0.220000,0,0.530100,0.348133
107,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
108,player,Navigating,2.388598,3.000000,-0.543468,2.839377,0.220000,0,0.573345,0.331239
108,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
109,player,Navigating,2.469097,3.000000,-0.471914,2.875154,0.220000,0,0.613711,0.379587
109,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
110,player,Navigating,2.549595,3.000000,-0.400360,2.910931,0.220000,0,0.628844,0.471822
110,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
111,player,Navigating,2.630094,3.000000,-0.328806,2.946708,0.220000,0,0.646202,0.447596
111,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
112,player,Navigating,2.710592,3.000000,-0.257251,2.982485,0.220000,0,0.673040,0.326874
112,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
113,player,Navigating,2.791091,3.000000,-0.185697,3.018263,0.220000,0,0.704135,0.341187
113,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
114,player,Navigating,2.871589,3.000000,-0.114143,3.054040,0.220000,0,0.720000,0.382645
114,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
115,player,Navigating,2.952088,3.000000,-0.042589,3.089817,0.220000,0,0.729531,0.455149
115,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
116,player,Navigating,3.000000,3.000000,0.000000,3.111111,0.220000,0,0.733387,0.471509
116,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
117,player,Navigating,3.000000,2.929564,0.062610,3.079806,0.220000,0,0.817605,0.399525
117,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
118,player,Navigating,3.000000,2.849066,0.134164,3.044029,0.220000,0,1.013120,0.336312
118,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
119,player,Navigating,3.000000,2.768567,0.205718,3.008252,0.220000,0,1.021641,0.341665
119,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
120,player,Navigating,3.000000,2.688069,0.277273,2.972475,0.220000,0,1.005863,0.431257
120,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
121,player,Navigating,3.000000,2.607570,0.348827,2.936698,0.220000,0,1.025801,0.486785
121,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
122,player,Navigating,3.000000,2.527072,0.420381,2.900921,0.220000,0,1.213637,0.373854
122,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
123,player,Navigating,3.000000,2.446585,0.491925,2.865149,0.220000,0,1.389986,0.334469
123,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
124,player,Navigating,3.000000,2.368457,0.561372,2.830425,0.220000,0,1.395634,0.355066
124,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
125,player,Navigating,3.000000,2.298657,0.623416,2.799403,0.220000,0,1.395021,0.411022
125,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
126,player,Navigating,3.000000,2.240066,0.675497,2.773363,0.220000,0,1.398634,0.460244
126,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
127,player,Navigating,3.000000,2.192152,0.718087,2.752067,0.220000,0,1.438345,0.465602
127,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
128,player,Navigating,3.000000,2.152892,0.752985,2.734619,0.220000,0,1.513234,0.429390
128,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
129,player,Navigating,3.000000,2.120156,0.782084,2.720069,0.220000,0,1.589717,0.384740
129,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
130,player,Navigating,3.000000,2.092186,0.806946,2.707638,0.220000,0,1.677919,0.348220
130,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
131,player,Navigating,3.000000,2.067634,0.828770,2.696726,0.220000,0,1.757097,0.340741
131,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
132,player,Navigating,3.000000,2.045472,0.848469,2.686877,0.220000,0,1.761718,0.335643
132,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
133,player,Idle,3.000000,2.000000,0.888889,2.666667,0.220000,0,1.767617,0.330546
133,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.217883,0.354454
